Prof_Course		The instructor provided clearly defined expectations.	The instructor used teaching methods that helped me learn.	"The instructor helped me take a role in my own learning, by encouraging questions or other forms of participation as appropriate to the course."	The instructor was well prepared to teach each of the course's units / modules.	The instructor was available for consultation either in person or online.	The instructor is one whom I would recommend to other students.
"Millsap,Richard:POLS-2311-004-GOVT OF U S"	Mean	4.5294	3.7059	3.875	4.0588	4.0588	4.1176
	N	17	17	16	17	17	17
"Millsap,Richard:POLS-2312-001-STATE & LOCAL GOVT"	Mean	4.2667	3.5517	3.7241	4.4138	4.25	3.4138
	N	30	29	29	29	24	29
"Millsap,Richard:POLS-2312-004-STATE & LOCAL GOVT"	Mean	3.8065	3.0323	3.3871	3.6452	3.6538	3.1613
	N	31	31	31	31	26	31
"Millsap,Richard:POLS-2312-005-STATE & LOCAL GOVT"	Mean	4.2222	3.7778	3.8889	4.6667	4.3333	3.5556
	N	9	9	9	9	9	9
"Milson,Andrew:EDUC-4647-007-SECONDARY STUDENT TEACHING"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Milson,Andrew:GEOG-1302-001-INTRO TO HUMAN GEOGRAPHY"	Mean	4.8889	4.4444	4.6667	5	4.6667	4.8889
	N	9	9	9	9	9	9
"Mintz-Binder,Ronda:NURS-5302-001-CURRICULUM DEVELOPMENT"	Mean	3.9	3.9	4	4.2	4.4	4
	N	10	10	10	10	10	10
"Mintz-Binder,Ronda:NURS-5327-002-ANALYSIS OF THEORIES FOR NURS"	Mean	4.5	4.4	4.5	4.7	4.7	4.7
	N	10	10	10	10	10	10
"Mintz-Binder,Ronda:NURS-5327-400-ANALYSIS OF THEORIES FOR NURS"	Mean	3.7308	3.8077	4.0385	4.1923	3.9583	3.7692
	N	26	26	26	26	24	26
"Mintz-Binder,Ronda:NURS-5327-402-ANALYSIS OF THEORIES FOR NURS"	Mean	4.3158	4.1111	4.3158	4.4444	4.1579	4.1579
	N	19	18	19	18	19	19
"Mishra,Rajat:OPMA-3306-001-OPERATIONS MANAGEMENT"	Mean	4.2727	4.2727	4.2727	4.4545	4.5455	4.4545
	N	11	11	11	11	11	11
"Mitchell,Cheryl:ART-1310-001-ART OF WEST II"	Mean	4.8	4.75	4.5789	4.9	4.7	4.5
	N	20	20	19	20	20	20
"Mitchell,Geoffrey:HIST-1311-001-HISTORY OF U.S."	Mean	3.75	3.625	4.25	3.875	4.375	3.375
	N	8	8	8	8	8	8
"Mitchell,Glenda:MATH-1330-001-ARITHMETICAL PROBLEM SOLVING"	Mean	5	5	5	5	4.8	5
	N	5	5	5	5	5	5
"Mitchell,Glenda:MATH-1331-001-GEOMETRICAL INFERENCE/REASON"	Mean	4.6	4.4	4.8	4.8	4.2	4.6
	N	5	5	5	5	5	5
"Mitchell,Glenda:MATH-1331-003-GEOMETRICAL INFERENCE/REASON"	Mean	4.6667	4.5833	4.5	4.6667	4.5	4.5833
	N	12	12	12	12	12	12
"Mitchell,Glenda:MATH-1331-004-GEOMETRICAL INFERENCE/REASON"	Mean	4.4286	4	4.5714	4.7143	4.2857	4
	N	7	7	7	7	7	7
"Mitschke,Diane:SOCW-3317-003-DIVERSE POPULATIONS"	Mean	4.6667	4.6667	4.5833	4.6667	4.4167	4.6667
	N	12	12	12	12	12	12
"Mitschke,Diane:SOCW-3317-005-DIVERSE POPULATIONS"	Mean	4.3333	4.3333	4.3333	4.3333	4.2	4.3333
	N	6	6	6	6	5	6
"Mitschke,Diane:SOCW-5317-005/006-HUMAN BEHAVIOR AND DIVERSE POPULATIONS"	Mean	4.0952	4.0909	4.1818	4.1818	4.1364	4.0476
	N	21	22	22	22	22	21
"Moake,Lindy:NURS-5444-001-ADV NRSG COMPLEX PEDI PROBLEMS"	Mean	4.5	3.8333	4.0909	3.9	4.6667	4.6364
	N	12	12	11	10	12	11
"Mohanty,Samarendra:PHYS-5391-001-SPECIAL TOPICS IN PHYSICS"	Mean	5	5	5	4.6667	5	4.3333
	N	3	3	3	3	3	3
"Monson,Gregory:CHEM-1465-103-CHEMISTRY FOR ENGINEERS"	Mean	3.5	3.25	4	4.25	4.25	2
	N	4	4	4	4	4	4
"Monson,Gregory:CHEM-1465-104-CHEMISTRY FOR ENGINEERS"	Mean	3	2.5	2.5	4.5	4	2.5
	N	2	2	2	2	2	2
"Montgomery,Ronald:MUSI-0115-001-MUSICAL THEATRE / OPERA LAB (2132-21803)"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Montgomery,Ronald:MUSI-3101-001-ITAL &FREN DICT"	Mean	4.5	4	4.5	4.5	4	4
	N	2	2	2	2	2	2
"Montgomery,Ronald:MUSIC PRIVATE LESSONS (2132-00005)"	Mean	5	4.8571	5	5	4.7143	5
	N	7	7	7	7	7	7
"Moon,Byungsoo:MATH-1322-003-PRECALCULUS I"	Mean	3.3333	2.8	3	4.0667	3.7692	2.4667
	N	15	15	15	15	13	15
"Moon,Byungsoo:MATH-1325-001-ANALYTIC GEOMETRY"	Mean	4.4444	3.4444	3.3333	4.375	3.8889	3.1111
	N	9	9	9	8	9	9
"Moon,Hyejin:MAE-3314-001-HEAT TRANSFER"	Mean	4.4211	3.8421	3.8947	4.3158	4.3889	4.0526
	N	19	19	19	19	18	19
"Moon,Jhang:POLS-3318-001-POL SYS E ASIA"	Mean	3.5	3.75	4	4.5	3.5	3.5
	N	4	4	4	4	4	4
"Moon,Sung:SOCW-5306-003/004-GENERALIST MACRO PRACTICE (2132-1-0173)"	Mean	3.8421	4.1111	4.2632	4.2222	4.3158	4.2778
	N	19	18	19	18	19	18
"Moon,Sung:SOCW-5306-005/006-GENERALIST MACRO PRACTICE"	Mean	3.84	3.64	3.88	3.9583	3.88	3.56
	N	25	25	25	24	25	25
"Moore,Jeffrey:FINA-3317-001-FINANCIAL INSTIT & MARKETS"	Mean	4.7857	4.4286	4.4286	4.9286	4.5385	4.7857
	N	14	14	14	14	13	14
"Moore,Jeffrey:FINA-3317-002-FINANCIAL INSTIT & MARKETS"	Mean	4.8235	4.4118	4.2941	4.8824	4.625	4.6471
	N	17	17	17	17	16	17
"Morales,Rosa:BEEP-4319-001-CULT/LING DIVERSE EC-6 STDNTS"	Mean	4.0909	3.7273	3.8182	4	4.1818	4
	N	11	11	11	11	11	10
"Morphis,Catherine:ENGL-1301-020-RHETORIC AND COMPOSITION I"	Mean	4.4444	4.1111	4.5556	4.1111	3.5556	3.7778
	N	9	9	9	9	9	9
"Morphis,Catherine:ENGL-1301-022-RHETORIC AND COMPOSITION I"	Mean	4.8333	4.8333	4.8333	4.9167	4.75	4.9167
	N	12	12	12	12	12	12
"Morris-Bobzean,Samara:PSYC-2444-004-RESEARCH DESIGN & STATS II"	Mean	5	4.8571	5	4.5714	5	4.8571
	N	7	7	7	7	7	7
"Morris,Christopher:HIST-1311-001-HISTORY OF U.S."	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Morris,Christopher:HIST-4388-005-SEL TOP HIST and GEOG-4350-001 / HONR-LA-4303-010-SPECIAL TOPICS *"	Mean	4	4	4	4	4	4
	N	1	1	1	1	1	1
"Morris,Christopher:HIST-5304-001-REGIONAL / TOPICAL US HISTORY"	Mean	5	5	4.5	4.3333	4.6667	5
	N	3	3	2	3	3	3
"Morris,Lidia:BEEP-4382-001-LIT INSTR SPAN BILINGUAL CLSRM"	Mean	3.8571	4.1429	4.1429	4	4.1429	3.7143
	N	7	7	7	7	7	7
"Morris,Michael:POLS-2311-010-GOVT OF U S"	Mean	4.75	4.4167	4.5455	4.8333	4.5	4.5833
	N	12	12	11	12	10	12
"Morris,Michael:POLS-2311-700, 900 and 902 GOVERNMENT OF THE UNITED STATES"	Mean	4.6316	4.3289	4.3243	4.48	4.4	4.3421
	N	76	76	74	75	65	76
"Morris,Michael:POLS-2311-701 and 901 GOVERNMENT OF THE UNITED STATES"	Mean	4.5745	4.3936	4.3696	4.6522	4.2759	4.4066
	N	94	94	92	92	87	91
"Morris,Ronald:LIST-5316-005-LITERACY PRACTICUM I"	Mean	4.5455	4.0909	4.3636	4.4545	4.4545	4.3636
	N	11	11	11	11	11	11
"Morris,Ronald:LIST-5316-105-LITERACY PRACTICUM I"	Mean	4.8	4.7	4.8	4.6	4.3	4.7
	N	10	10	10	10	10	10
"Morris,Timothy:ENGL-3361-001-HISTWORLD LIT I"	Mean	4.5	4.375	4.375	4.8571	4.5	4.5
	N	8	8	8	7	8	8
"Morris,Timothy:ENGL-3361-002-HISTWORLD LIT I"	Mean	4.3	4.3	4.4	4.7	4.5556	4.2
	N	10	10	10	10	9	10
"Morrison,Michael:MUSIC PRIVATE LESSONS (2132-00110)"	Mean	4.6667	4.6667	5	5	5	5
	N	3	3	3	3	3	3
"Morrow,Janet:ART-1306-001-THREE-DIMENSIONAL DESIGN"	Mean	5	4.8571	5	4.8571	4.5	4.8571
	N	7	7	7	7	6	7
"Morrow,Janet:ART-1306-005-THREE-DIMENSIONAL DESIGN"	Mean	5	4.875	5	4.875	4.875	5
	N	8	8	8	8	8	8
"Moseley,Matthew:BIOL-2457-002-HUMAN ANATOMY & PHYSIOLOGY I"	Mean	4.3333	4.3333	4	4	3.6667	4.3333
	N	3	3	3	3	3	3
"Moseley,Matthew:BIOL-2457-006-HUMAN ANATOMY & PHYSIOLOGY I"	Mean	4.8	4.2	4.5	4.6	4	4.25
	N	5	5	4	5	5	4
"Mosely,Jacorey:UNIV-1131-016-ISSUES IN COLLEGE ADJUSTMENT"	Mean	4.5	4.5	5	5	4	5
	N	2	2	2	2	2	2
"Mosley-Eckler,Christie:SOCW-3302-001-HUM BEHAV II"	Mean	4.6923	4.6154	4.6154	4.6923	4.2308	4.6154
	N	13	13	13	13	13	13
"Mosley-Eckler,Christie:SOCW-3304-001-SW PRACTIC II"	Mean	4.8571	4.8571	4.8571	4.7143	4.8571	4.8571
	N	7	7	7	7	7	7
"Mostashari,Shalah:ECON-2306-003-PRINCIPLES OF MICROECONOMICS"	Mean	4.4167	4.0833	4.25	4.4167	4.1667	4.3333
	N	12	12	12	12	12	12
"Mostashari,Shalah:ECON-4321-001-INTERNATIONAL TRADE"	Mean	4.5789	3.9474	4.2778	4.3684	4.5263	4.1579
	N	19	19	18	19	19	19
"Mostashari,Shalah:ECON-5311-001-ECONOMIC ANALYSIS"	Mean	4.4444	4.4444	4.3333	4.5556	4.625	4.3333
	N	9	9	9	9	8	9
"Motley,Edward:CE-5354-001-WATER RESOURCES PLANNING"	Mean	4.3333	4.3333	4.3333	4	4.3333	4
	N	3	3	3	3	3	3
"Motley,Edward:CE-5354-002-WATER RESOURCES PLANNING"	Mean	4	4	4	4	4	4
	N	1	1	1	1	1	1
"Mulholland,Brian:MUSI-4323-001-BUSINESS MUSIC"	Mean	4.5	4.4286	4.7143	4.7857	4.5385	4.7143
	N	14	14	14	14	13	14
"Mulholland,Brian:MUSIC PRIVATE LESSONS (2132-00029)"	Mean	4.5	4.5	4.5	4.5	4.5	4.5
	N	2	2	2	2	2	2
"Murray,Kathleen:SOCW-2313-003-SW PRACTICE I"	Mean	4.8333	4.8333	4.8333	5	5	5
	N	6	6	6	6	6	6
"Musielak,Dora:ME-5332-001-ENGINEERING ANALYSIS"	Mean	4.4118	4.1765	4.5882	4.2941	4.3529	4.1765
	N	17	17	17	17	17	17
"Musielak,Dora:PHYS-5312-001-MATH METHODS II"	Mean	3.6	3.4	3.8	3.8	4.8	3.4
	N	5	5	5	5	5	5
"Musielak,Zdzislaw:ASTR-1446-002-INTRODUCTORY ASTRONOMY II"	Mean	4.75	4.75	4.55	4.8	4.7368	4.85
	N	20	20	20	20	19	20
"Muttiah,Ranjan:CE-5353-001-ADVANCED HYDRAULICS"	Mean	4	4.3333	4.3333	4	4.3333	4
	N	3	3	3	3	3	3
"Muttiah,Ranjan:CE-5353-002-ADVANCED HYDRAULICS"	Mean	4.3333	3	4	4.3333	4.3333	3.6667
	N	3	3	3	3	3	3
"Mydlarz,Laura:BIOL-3357-001-MARINE BIOLOGY"	Mean	4.1765	4.1765	4.8125	4.375	4.5333	3.9412
	N	17	17	16	16	15	17
"Mydlarz,Laura:BIOL-4150-001 / MATH-4150-001-SEMINAR IN MATHEMATICAL BIOL & HONR-SC-4103-001-ADVANCED SPECIAL TOPICS"	Mean	4.4	4.6	4.6	4.6	4.8	4.8
	N	5	5	5	5	5	5
"Myers,Joyce:ELED-4321-001-EC-6 CLASS MANAGEMENT PEDAGOGY"	Mean	3.8333	3.5	3.8333	3.6667	3.3529	3.3889
	N	18	18	18	18	17	18
"Myers,Joyce:ELED-4321-002-EC-6 CLASS MANAGEMENT PEDAGOGY"	Mean	3.75	4.25	4	3.75	4	4
	N	4	4	4	4	4	4
"Myers,Joyce:ELED-4321-003-EC-6 CLASS MANAGEMENT PEDAGOGY"	Mean	3.9286	4.0714	4.2857	4.1538	4.1538	3.7857
	N	14	14	14	13	13	14
"Najafi,Mohammad:CE-4332-001-CONSTRUCTION EQUIP/METHODS/MGT"	Mean	4.5	4.5	4.375	4.625	4.5	4.5
	N	8	8	8	8	8	8
"Najafi,Mohammad:CE-5344-001-CONSTRUCTION METHODS FIELD OPS"	Mean	4.625	4.2857	4.625	4.75	4.75	4.375
	N	8	7	8	8	8	8
"Narayanasamy,Arun:FINA-4324-002-INTERNATIONAL CORP FINANCE"	Mean	4.5	3.5	4	4.5	3	3.5
	N	2	2	2	2	2	2
"Narayanasamy,Arun:FINA-5311-001-BUSINESS FINANCIAL MANAGEMENT (2132-20917)"	Mean	4.0909	4	4	4.4545	4.0909	3.5455
	N	11	11	11	11	11	11
"Narayanasamy,Arun:FINA-5331-001-INTERNATIONAL FINANCE & FINA-6390-003-SEMINAR SPEC TOPICS IN FINANCE"	Mean	4.25	4.5	4.5	4.25	4.5	4.25
	N	4	4	4	4	4	4
"Narayanasamy,Arun:FINA-5331-004-INTERNATIONAL FINANCE"	Mean	4.3333	4.3333	5	4.3333	4.6667	4.5
	N	3	3	3	3	3	2
"Narayanasamy,Arun:FINA-5340-001- FINANCIAL APPLICATIONS"	Mean	4.8333	4.8333	4.8333	4.8333	4.6667	5
	N	6	6	6	6	6	6
"Narh,Eugenia:CHEM-1442-101-GENERAL CHEMISTRY II (2132-22882)"	Mean	4.1667	4	4.1818	4.5	4.3636	4.4545
	N	12	12	11	12	11	11
"Narh,Eugenia:CHEM-1442-112-GENERAL CHEMISTRY II"	Mean	4.6667	4.5	4.5	4.75	4.6667	4.5833
	N	12	12	12	12	12	12
"Narrett,David:HIST-1311-006-HISTORY OF U.S."	Mean	3.9286	3.7857	3.7857	4.2143	4	3.7857
	N	14	14	14	14	13	14
"Narrett,David:HIST-1311-013-HISTORY OF U.S."	Mean	3.5	3	3	4.5	4.5	2
	N	2	2	2	2	2	2
"Narrett,David:HIST-3322-001-AM RVLUTN & CONSTITUTION"	Mean	3.5	3.125	3.375	4.25	4.125	2.875
	N	8	8	8	8	8	8
"Nason,Joshua:ARCH-4311-001 & ARCH-5311-001-TOPICS IN ARCHITECTURAL THEORY (2132-ISW-0004)"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Nason,Joshua:ARCH-5670-003-ADVANCED DESIGN STUDIO"	Mean	4.3333	4.6667	4.6667	4.6667	4.6667	5
	N	3	3	3	3	3	3
"Natishyn,Michael:PSYC-2444-003-RESEARCH DESIGN & STATS II"	Mean	4.75	4.75	4.75	4.75	4.5	4.75
	N	4	4	4	4	4	4
"Nead,Susan:COMS-2302-008-PROFESSIONAL TECHNICAL COMM"	Mean	4.6667	4.5556	4.6667	4.4444	4.5556	4.5556
	N	9	9	9	9	9	9
"Nead,Susan:COMS-2302-013-PROFESSIONAL TECHNICAL COMM"	Mean	4.375	4.375	4.5	4.5	4.375	4.875
	N	8	8	8	8	8	8
"Nead,Susan:COMS-2304-001-GROUP COMM PRINCIPLES"	Mean	4.125	4.375	4.375	4.125	4.125	4.5
	N	8	8	8	8	8	8
"Nead,Susan:COMS-2304-002-GROUP COMM PRINCIPLES"	Mean	4.3333	4.4444	4.6667	4.3333	4.375	4.4444
	N	9	9	9	9	8	9
"Nealy,Beatrice:SOCW-4252-002-SW FIELD II SEM"	Mean	3.7143	4.1429	4.2143	4.1429	3.7143	4.1429
	N	14	14	14	14	14	14
"Neilson,Rebecca:LSHP-4311-001-LEADER AS COMMUNICATOR"	Mean	4.7692	4.7692	4.8077	4.9231	4.96	4.9231
	N	26	26	26	26	25	26
"Nelson,Edward:ARCH-3331-001 & ARCH-5361-001-ARCHITECTURE & ENVIRONMENT (2132-1-0296)"	Mean	4.5556	4.4444	4.5556	4.7778	4.25	4.6667
	N	9	9	9	9	8	9
"Nelson,Edward:ARCH-4346-001 & ARCH-5346-001-CONSTRUCTION DRAWINGS"	Mean	4.25	4	4.5	4.25	4.25	4
	N	4	4	4	4	4	4
"Nelson,Edward:ARCH-5336-001-ADV PRO PRAC II: PROG/SITE PLN (2132-27839)"	Mean	4	4	4	4	4	4
	N	1	1	1	1	1	1
"Nelson,Ellen:UNIV-1131-001-ISSUES IN COLLEGE ADJUSTMENT"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Nelson,Larry:KINE-2301-001-TEACH GAMES FOR UNDERSTANDING"	Mean	5	5	5	4.5	5	5
	N	2	1	2	2	2	2
"Nelson,Larry:KINE-4319-001-INTEGRATION OF FITNESS PRCPLS"	Mean	4.6667	4.6667	4.6667	4.6667	5	5
	N	3	3	3	3	3	3
"Nelson,Larry:KINE-4320-001-TEACHING SECONDARY PHYS EDUC"	Mean	4.8333	4.8333	4.8333	4.8333	5	5
	N	6	6	6	6	6	6
"Nelson,Larry:KINE-4320-002-TEACHING SECONDARY PHYS EDUC"	Mean	4.8333	4.6667	4.8333	4.6667	5	5
	N	6	6	6	6	6	6
"Nelson,Matthew:BIOL-1442-002-STRUC & FUNC OF ORGANISMS"	Mean	4.4889	4.3778	4.2	4.5778	4.2683	4.2727
	N	45	45	45	45	41	44
"Nelson,Matthew:BIOL-1442-004-STRUC & FUNC OF ORGANISMS"	Mean	4.3182	4.4091	4.3636	4.7727	4.55	4.4545
	N	22	22	22	22	20	22
"Nelson,Matthew:BIOL-3454-001-GENERAL ZOOLOGY"	Mean	4.78	4.68	4.52	4.78	4.5532	4.78
	N	50	50	50	50	47	50
"Nerur,Sridhar:INSY-3300-002 & INSY-5309-001-OBJECT-ORIENTED PROGRAMMING"	Mean	4.5	4.3	4.3	4.5	4.3	4.2
	N	10	10	10	10	10	10
"Nerur,Sridhar:INSY-4325-001-INFORMATION RESOURCE MGMT"	Mean	4.4444	4.3333	4.4444	4.5556	4.3333	4.4444
	N	9	9	9	9	9	9
"Nerur,Sridhar:INSY-4331-001-SEMINAR IN INFORMATION SYSTEMS & INSY-5392-001-SELECTED TOPICS IN INFORMATION SYSTEMS"	Mean	3	2.75	3.3333	2.6667	3.6364	2.8333
	N	12	12	12	12	11	12
"Nestell,Merlynd:GEOL-4305-001-TOPICS IN GEOL & GEOL-5313-001-CARBONATE PETROLOGY"	Mean	4.6	4.4	4.6	5	5	4.6
	N	5	5	5	5	5	5
"Nestell,Merlynd:MATH-4324-001-PARTIAL DIFFERENTIAL EQUATIONS"	Mean	3.6667	3.5	4.3333	4.5	4.3333	4.1667
	N	6	6	6	6	6	6
"Newcomb,Patricia:NURS-6304-001-MEASURE DIVERSE/VULNERABLE"	Mean	4.3333	5	5	5	4.6667	5
	N	3	3	3	3	3	3
"Newhart,Stephen:KINE-4329-001 & KINE-5329-001-STRENGTH & CONDITIONING (2132-1-0063)"	Mean	4.7	4.6	4.7	4.8	4.35	4.55
	N	20	20	20	20	20	20
"Newlin,Patricia:SOCW-6303-001-POVERTY INEQUALITY & SOC PLCY"	Mean	4.375	3.375	4.125	3.625	4.4286	3.25
	N	8	8	8	8	7	8
"Newton,Patricia:ART-2358-001 / 002 / 003-INTRO FILM/VIDEO"	Mean	3.4286	3.1429	3.7143	3.7143	3.8333	3
	N	7	7	7	7	6	7
"Newton,Patricia:ART-2358-005-INTRO FILM/VIDEO (2132-27218)"	Mean	2.8333	3	3.6667	3.75	3.6667	2.2
	N	6	6	6	4	6	5
"Newton,Patricia:ART-3111-001-DIRECTED SCREENINGS (2132-20309)"	Mean	4.3333	3.4444	3.2222	3.6667	3.5556	3.4444
	N	9	9	9	9	9	9
"Newton,Patricia:WOMS-2301-001-TOPICS IN WOMENS & GENDER STU"	Mean	3.4	3.4	3.8	3.5	4.3	3.6
	N	10	10	10	10	10	10
"Ngai,Joseph:PHYS-1444-001-GENERAL TECHNICAL PHYSICS II"	Mean	4.4091	4.2273	4.4091	4.8636	4.6818	4.2727
	N	22	22	22	22	22	22
"Nguyen,Kytai:BE-5373-004-DRUG DELIVERY LAB"	Mean	3.3	3.3	3.6	3.7	3.5556	3.1
	N	10	10	10	10	9	10
"Nikolova,Silviya:SOCW-6354-001-SOC OPRSD EXCLUS & JUSTICE"	Mean	3.8	3.6667	4.4	4.3333	4.6667	4
	N	15	15	15	15	15	14
"Nimmo,John:CHEM-3182-002-PHYSICAL CHEMISTRY II LAB"	Mean	3.1429	3.2857	3.2857	3.4286	3.7143	2.4286
	N	7	7	7	7	7	7
"Nisttahuz,Jaime:SPAN-3304-042-SPANISH HERITAGE SPEAKERS I"	Mean	4.3333	4.5	4.5	4.3333	4.5	4.3333
	N	6	6	6	6	6	6
"Nisttahuz,Jaime:SPAN-3305-042-SPANISH HERITAGE SPEAKERS II"	Mean	4.3333	4.5	4.3333	4.3333	4.3333	4.6
	N	6	6	6	6	6	5
"Nomura,Seiichi:MAE-2360-001-NUMERICAL ANALYSIS/PROGRAMMING"	Mean	4.4545	4.3182	4.1364	4.8636	4.3636	4.5455
	N	22	22	22	22	22	22
"Nomura,Seiichi:MAE-2360-002-NUMERICAL ANALYSIS/PROGRAMMING"	Mean	4.6154	4.5385	4.1538	4.5385	4.5385	4.3846
	N	13	13	13	13	13	13
"Nomura,Seiichi:MAE-2360-003-NUMERICAL ANALYSIS/PROGRAMMING"	Mean	4.2	4.6	4.6	4.8	4.4	4.6
	N	5	5	5	5	5	5
"Nordtvedt,Liliana:MANA-4322-001-ORGANIZATIONAL STRATEGY"	Mean	4.125	4.375	4.625	4.625	4.7143	4.125
	N	8	8	8	8	7	8
"Nordtvedt,Liliana:MANA-4322-002-ORGANIZATIONAL STRATEGY"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Norman,Susan:FS-NURS-1300-003-INTRO TO PROFESSIONAL NURSING"	Mean	5	4.6667	5	5	4.8333	5
	N	6	6	6	6	6	6
"Norman,Susan:FS-NURS-1300-004-INTRO TO PROFESSIONAL NURSING"	Mean	4.6	4.2	4.6	4.6	4.6	4.6
	N	5	5	5	5	5	5
"Norouzi,Amir:CE-3142-001-APPLIED FLUID MECHANICS LAB"	Mean	4	4.2	4.6	4.4	4.6	4.4
	N	5	5	5	5	5	5
"Norouzi,Amir:CE-3142-002-APPLIED FLUID MECHANICS LAB"	Mean	3.8333	4.3333	3.6667	4.5	4.1667	4.1667
	N	6	6	6	6	6	6
"Norouzi,Amir:CE-3142-003-APPLIED FLUID MECHANICS LAB"	Mean	3.8	3.4	4.75	4.6	4.6	3.8
	N	5	5	4	5	5	5
"Norris,Judy:LIST-5326-005-PRE-ADOL/ADOLESCENT LITERACY"	Mean	2	2.7436	3.4474	2.2564	3.5526	2.6316
	N	39	39	38	39	38	38
"North,Kenda:ART-4359-001-ADV PHOTOGRAPHY"	Mean	4.8	4.8	5	5	5	5
	N	5	5	5	5	5	5
"North,Kenda:ART-4360-001-COLOR PHOTOGRAPHY"	Mean	5	4.75	4.75	5	4.75	4.75
	N	4	4	4	4	4	4
"Nowacki,David:FINA-4311-001-MONEY AND CAPITAL MARKETS"	Mean	4.8333	3.8333	4.1667	4.6667	4.5	4
	N	6	6	6	6	6	6
"Noyola,Joaquin:PHYS-1442-012-GENERAL COLLEGE PHYSICS II"	Mean	4.5556	4.5556	4.5556	4.6667	4.3333	4.6667
	N	9	9	9	9	9	9
"Noyola,Joaquin:PHYS-1444-007-GENERAL TECHNICAL PHYSICS II"	Mean	4.3333	4.2222	4.2222	4.4444	4.125	4.3333
	N	9	9	9	9	8	9
"Nshimiyimana,Jean-Luc:CHEM-1465-106-CHEMISTRY FOR ENGINEERS"	Mean	4.4	4.4	4.4	4.5	4.4667	4.3333
	N	15	15	15	14	15	15
"Nussbaum,Charles:PHIL-2313-001-PHIL OF ARTS"	Mean	4.75	3.5	3.75	3.75	3	3.5
	N	4	4	4	4	3	4
"O'Connell,Kyle:BIOL-3442-003-PRINCIPLES ANIMAL PHYSIOLOGY"	Mean	4.25	4.25	4.5	4.25	4.75	4.25
	N	4	4	4	4	4	4
"O'Connell,Kyle:BIOL-3442-005-PRINCIPLES ANIMAL PHYSIOLOGY"	Mean	4.4167	4.25	4.0833	4.25	4.5833	4.5
	N	12	12	12	12	12	12
"O'Dell,James:CSE-4316-001-COMPUTER SYS DESIGN PROJECT I"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"O'Dell,James:CSE-4316-002-COMPUTER SYS DESIGN PROJECT I"	Mean	4.5	5	5	5	5	5
	N	2	2	2	2	2	2
"O'Dell,James:CSE-4317-001-COMPUTER SYS DESIGN PROJECT II"	Mean	4.5714	4.5714	4.5714	4.5714	4.4286	4.5714
	N	7	7	7	7	7	7
"O'Dell,James:CSE-4317-002-COMPUTER SYS DESIGN PROJECT II"	Mean	4.8333	4.5	4.6667	4.8333	4.8333	4.6667
	N	6	6	6	6	6	6
"O'Dell,James:CSE-5194-001-ORIENTATION SEMINAR"	Mean	4.2353	4.3333	4.0625	4.25	4.25	4.2
	N	17	15	16	16	16	15
"O'Dell,James:CSE-5194-033-ORIENTATION SEMINAR"	Mean	4.5	3.75	4	4.5	4.6667	4.8
	N	6	4	5	6	6	5
"Obulareddy,Nisita:BIOL-3427-002-PLANT SCIENCE"	Mean	4	3.375	3.875	4	3.2857	3.5
	N	8	8	8	8	7	8
"Obulareddy,Nisita:BIOL-3427-003-PLANT SCIENCE"	Mean	4.25	4.25	3.5	4.25	4	3.25
	N	4	4	4	4	4	4
"Olenga,Antoine:PHYS-1442-009-GENERAL COLLEGE PHYSICS II"	Mean	3.625	3.25	3.375	3.5	3.3333	2.75
	N	8	8	8	8	6	8
"Olenga,Antoine:PHYS-1442-015-GENERAL COLLEGE PHYSICS II"	Mean	3.8571	3.8571	3.5714	4.1429	3.6667	3.6667
	N	7	7	7	7	6	6
"Olson,Debra:ENGL-1302-005-RHETORIC AND COMPOSITION II"	Mean	4.5	4	4.1667	3.6667	4.1667	4.1667
	N	6	6	6	6	6	6
"Olson,Debra:ENGL-1302-026-RHETORIC AND COMPOSITION II"	Mean	4	3.7778	3.7778	4	4	4
	N	9	9	9	9	9	9
"Olson,Debra:ENGL-2309-002-WORLD LIT"	Mean	4.4286	4.4286	4.5714	4.7143	4.5714	4.5714
	N	7	7	7	7	7	7
"Olson,Debra:ENGL-2309-004-WORLD LIT"	Mean	3.875	4	4.375	4.25	4.2857	4.125
	N	8	8	8	8	7	8
"Omana,Jennifer:SPAN-2313-007-INTERMEDIATE SPANISH I"	Mean	4.6667	4.8571	4.5714	4.5714	4.2857	5
	N	6	7	7	7	7	7
"Omana,Jennifer:SPAN-2314-001-INTERMEDIATE SPANISH II"	Mean	3.5714	3.4286	3.8571	2.8571	3.4286	3.5714
	N	7	7	7	7	7	7
"Omana,Jennifer:SPAN-3315-001-COMPOSITION THROUGH LITERATURE"	Mean	4	4.1667	4.1667	3.8333	4.1667	4.6667
	N	6	6	6	6	6	6
"Omana,Jennifer:SPAN-3315-002-COMPOSITION THROUGH LITERATURE"	Mean	4	3.3333	4.6667	4.3333	5	3.6667
	N	3	3	3	3	3	3
